time,yaw,left_pos,right_pos,left_vel,right_vel,auto,enabled,bb_irq_ts,corner_pos,corner_send_ts,corner_detect_ts,corner_detect_nt_ts,tof_first_ts,tof_ts,tof_dist,tof_nt_ts,tof_fpga_ts,shoot_counter
14.815,0.002,2.297,2.589,0.021,0.032,,,,,,,,3750.554,3750.581,invalid,14.786,14.797
14.835,0.001,2.301,2.595,0.047,0.063,,,,,,,,3750.581,3750.605,invalid,14.811,14.816
14.855,0.001,2.305,2.599
14.875,,2.312,2.605,0.079,0.100,,,,,,,,3750.605,3750.632,invalid,14.837,14.856
14.895,,2.318,2.613,0.121,,,,,,,,,3750.632,3750.656,,14.862,14.876
14.915,,2.326,2.620,,0.142,,,,,,,,3750.656,3750.683,invalid,14.888,14.896
14.935,0.001,2.334,2.628,0.169,0.190,,,,,,,,3750.683,3750.708,invalid,14.913,14.916
14.955,0.001,2.342,2.637
14.975,,2.351,2.645,0.221,0.237,,,,,,,,3750.708,3750.732,invalid,14.938,14.956
14.995,0.001,2.359,2.653,0.274,0.295,,,,,,,,3750.733,3750.759,invalid,14.964,14.976
15.015,,2.368,2.662,,,,,,,,,,3750.759,3750.784,invalid,14.989,14.996
15.035,,2.377,2.671,0.332,0.348,,,,,,,,3750.784,3750.810,invalid,15.015,15.016
15.055,0.001,2.387,2.680,0.369,0.374
15.075,0.001,2.396,2.690,,,,,,,,,,3750.810,3750.835,,15.040,15.056
15.095,0.000,2.405,2.699,0.400,0.400,,,,,,,,3750.835,3750.860,invalid,15.065,15.076
15.115,-0.000,2.414,2.708,0.421,0.416,,,,,,,,3750.860,3750.886,invalid,15.091,15.096
15.135,-0.000,2.423,2.716
15.155,-0.001,2.433,2.726,0.443,0.432,,,,,,,,3750.886,3750.911,invalid,15.116,15.136
15.175,-0.001,2.443,2.734,,,,,,,,,,3750.911,3750.936,invalid,15.141,15.156
15.195,-0.001,2.452,2.744,0.453,0.443,,,,,,,,3750.936,3750.962,invalid,15.167,15.176
15.215,-0.002,2.462,2.753,0.458,0.453,,,,,,,,3750.962,3750.987,invalid,15.192,15.196
15.235,-0.002,2.471,2.762
15.255,-0.003,2.480,2.771,0.464,0.448,,,,,,,,3750.987,3751.013,invalid,15.218,15.236
15.275,-0.003,2.489,2.780,,0.453,,,,,,,,3751.013,3751.038,invalid,15.243,15.256
15.295,-0.005,2.499,2.790,,,,,,,,,,3751.038,3751.063,invalid,15.268,15.276
15.315,-0.005,2.508,2.799,,,,,,,,,,3751.063,3751.089,invalid,15.294,15.296
15.335,-0.006,2.517,2.808
15.355,-0.006,2.526,2.816,,,,,,,,,,3751.089,3751.114,invalid,15.319,15.336
15.375,-0.006,2.535,2.825,0.469,0.458,,,,,,,,3751.114,3751.139,invalid,15.344,15.356
15.395,-0.007,2.545,2.834,0.464,,,,,,,,,3751.139,3751.165,invalid,15.370,15.376
