time,yaw,left_pos,right_pos,left_vel,right_vel,auto,enabled,bb_irq_ts,corner_pos,corner_send_ts,corner_detect_ts,corner_detect_nt_ts,tof_first_ts,tof_ts,tof_dist,tof_nt_ts,tof_fpga_ts,shoot_counter
304.793,-0.027,-2.412,-2.363,,,,,,,,,,8799.084,8799.108,322,304.774,304.773
304.813,,-2.402,-2.354
304.833,-0.027,-2.393,-2.344,,,,,,,,,,8799.108,8799.135,327,304.800,304.813
304.853,-0.027,-2.384,-2.335,,,,,,,,,,8799.135,8799.160,321,304.825,304.833
304.873,-0.028,-2.375,-2.326,,,,,,,,,,8799.160,8799.185,323,304.850,304.853
304.893,-0.028,-2.366,-2.317,,,,,,,,,,8799.186,8799.211,323,304.877,304.873
304.913,-0.028,-2.356,-2.308,,0.458
304.933,,-2.346,-2.298,0.464,,,,,,,,,8799.212,8799.236,326,304.902,304.913
304.953,,-2.337,-2.289,,,,,,,,,,8799.236,8799.262,325,304.927,304.933
304.973,-0.028,-2.327,-2.280,0.464,,,,,,,,,8799.262,8799.288,324,304.954,304.953
304.993,-0.028,-2.318,-2.269,0.469,0.464
305.013,-0.029,-2.309,-2.260,,,,,,,,,,8799.288,8799.313,325,304.979,304.993
305.033,-0.029,-2.298,-2.251,,0.458,,,,,,,,8799.313,8799.338,324,305.004,305.013
305.053,-0.030,-2.289,-2.243,,0.464,,,,,,,,8799.339,8799.365,321,305.030,305.033
305.073,-0.031,-2.280,-2.233,,,,,,,,,,8799.365,8799.390,324,305.055,305.053
305.093,-0.031,-2.271,-2.223
305.113,-0.032,-2.260,-2.214,0.474,,,,,,,,,8799.391,8799.415,320,305.080,305.093
305.133,-0.032,-2.251,-2.205,,,,,,,,,,8799.415,8799.441,320,305.107,305.113
305.153,-0.032,-2.242,-2.196,,0.469,,,,,,,,8799.442,8799.467,323,305.132,305.133
305.173,-0.033,-2.231,-2.186,,,,,,,,,,8799.467,8799.492,321,305.157,305.153
305.193,-0.033,-2.222,-2.177,0.479
305.213,-0.033,-2.213,-2.168,,,,,,,,,,8799.492,8799.519,322,305.184,305.193
305.233,-0.033,-2.204,-2.159,,,,,,,,,,8799.519,8799.543,320,305.209,305.213
305.253,-0.033,-2.194,-2.150,0.474,0.464,,,,,,,,8799.544,8799.568,322,305.234,305.233
305.273,,-2.184,-2.140,0.479,0.469
305.293,,-2.175,-2.131,,,,,,,,,,8799.568,8799.595,325,305.261,305.273
305.313,-0.034,-2.165,-2.122,,0.464,,,,,,,,8799.596,8799.620,323,305.286,305.293
305.333,-0.034,-2.156,-2.113,,0.464,,,,,,,,8799.620,8799.646,321,305.311,305.313
305.353,-0.034,-2.147,-2.103,,,,,,,,,,8799.646,8799.672,321,305.337,305.334
305.373,-0.034,-2.136,-2.094,0.474
305.393,-0.035,-2.127,-2.085,0.479,,,,,,,,,8799.672,8799.697,324,305.362,305.373
305.413,-0.035,-2.118,-2.074,,,,,,,,,,8799.697,8799.722,324,305.387,305.393
305.433,-0.035,-2.107,-2.065,0.474,,,,,,,,,8799.723,8799.749,324,305.414,305.413
305.453,-0.035,-2.098,-2.056
305.473,-0.036,-2.089,-2.047,,,,,,,,,,8799.749,8799.773,326,305.439,305.453,4
305.493,-0.036,-2.080,-2.038,0.479,,,,,,,,,8799.773,8799.799,324,305.464,305.473
305.513,-0.036,-2.069,-2.028,,,,,,,,,,8799.799,8799.825,324,305.491,305.493
305.533,-0.037,-2.060,-2.019,0.474,,,,,,,,,8799.825,8799.851,322,305.516,305.513
305.553,-0.038,-2.051,-2.010,,,,,305.514
305.573,-0.039,-2.042,-1.999,,,,,,,,,,8799.851,8799.875,321,305.541,305.553
305.593,-0.040,-2.031,-1.990,0.479,0.469,,,,,,,,8799.876,8799.902,323,305.567,305.573
305.613,-0.040,-2.022,-1.981,,0.464,,,,,,,,8799.902,8799.927,319,305.593,305.593
305.633,-0.041,-2.013,-1.972,,,,,,,,,,8799.928,8799.952,322,305.618,305.613
305.653,-0.041,-2.002,-1.962,,0.469
305.673,-0.042,-1.993,-1.953,,,,,,,,,,8799.952,8799.979,318,305.644,305.653
305.693,-0.042,-1.984,-1.944,,,,,,,,,,8799.979,8800.004,319,305.669,305.673
305.713,,-1.973,-1.935,0.485,,,,,,,,,8800.004,8800.029,322,305.694,305.693
305.733,-0.042,-1.964,-1.926
305.753,-0.042,-1.955,-1.916,0.479,,,,,,,,,8800.029,8800.056,319,305.721,305.733
305.773,-0.042,-1.945,-1.906,,,,,,,,,,8800.056,8800.080,317,305.746,305.753
305.793,-0.042,-1.935,-1.897,,,,,,,,,,8800.081,8800.105,321,305.771,305.773
305.813,-0.042,-1.926,-1.887,0.485,0.474
305.833,-0.042,-1.916,-1.878,0.479,0.469,,,,,,,,8800.106,8800.133,324,305.798,305.813
305.853,-0.043,-1.906,-1.869,,,,,,,,,,8800.133,8800.157,320,305.823,305.833
305.873,-0.043,-1.897,-1.860,,0.474,,,,,,,,8800.157,8800.183,319,305.848,305.853
305.893,-0.043,-1.887,-1.849,,,,,,,,,,8800.183,8800.209,322,305.875,305.873
305.913,-0.044,-1.878,-1.840,,0.469
305.933,,-1.868,-1.831,,0.469,,,,,,,,8800.209,8800.234,318,305.900,305.913
305.953,-0.044,-1.858,-1.820,,,,,,,,,,8800.234,8800.259,322,305.925,305.933
305.973,-0.045,-1.848,-1.811,,0.474,,,,,,,,8800.260,8800.286,322,305.951,305.953
305.993,-0.045,-1.839,-1.802,,,,,,,,,,8800.286,8800.311,321,305.976,305.973
306.013,-0.046,-1.829,-1.793
306.033,-0.046,-1.820,-1.783,0.485,,,,,,,,,8800.312,8800.336,319,306.001,306.013
306.053,-0.047,-1.810,-1.774,0.479,0.469,,,,,,,,8800.336,8800.362,318,306.028,306.033
306.073,-0.048,-1.800,-1.765,,,,,,,,,,8800.363,8800.388,317,306.053,306.053
306.093,-0.049,-1.790,-1.756,0.485,0.469
306.113,-0.049,-1.781,-1.746,,,,,,,,,,8800.388,8800.413,315,306.078,306.093
306.133,-0.050,-1.772,-1.736,,,,,,,,,,8800.413,8800.439,316,306.105,306.113
306.153,-0.050,-1.761,-1.727,,,,,,,,,,8800.439,8800.464,317,306.130,306.133
306.173,,-1.752,-1.718,,,,,,,,,,8800.465,8800.489,315,306.155,306.153
306.193,-0.050,-1.743,-1.708,,0.474
306.213,-0.050,-1.732,-1.699,,0.469,,,,,,,,8800.489,8800.516,313,306.182,306.193
306.233,-0.050,-1.723,-1.690,,,,,,,,,,8800.517,8800.541,314,306.207,306.213
306.253,-0.051,-1.714,-1.681,,0.469,,,,,,,,8800.541,8800.566,316,306.232,306.233
306.273,-0.051,-1.703,-1.671,0.479
306.293,-0.051,-1.694,-1.661,,,,,,,,,,8800.566,8800.593,316,306.258,306.273
306.313,-0.051,-1.685,-1.652,0.485,,,,,,,,,8800.593,8800.618,316,306.283,306.293
306.333,-0.051,-1.674,-1.642,0.479,,,,,,,,,8800.618,8800.643,312,306.308,306.313
306.353,-0.051,-1.665,-1.633,,,,,,,,,,8800.644,8800.670,312,306.335,306.333
306.373,-0.052,-1.656,-1.624,0.485,0.474
306.393,-0.052,-1.645,-1.613,0.479,,,,,,,,,8800.670,8800.694,308,306.360,306.373
306.413,-0.052,-1.636,-1.604,,,,,,,,,,8800.695,8800.720,314,306.385,306.393
306.433,-0.053,-1.627,-1.595,0.485,0.469,,,,,,,,8800.720,8800.746,313,306.412,306.413
306.452,-0.053,-1.617,-1.586,,,,,,,,,,8800.747,8800.771,325,306.437,306.433
306.473,-0.053,-1.608,-1.577,0.479,0.469
306.493,-0.054,-1.598,-1.567,,0.474,,,,,,,,8800.771,8800.797,341,306.462,306.473
306.513,-0.054,-1.588,-1.557,,,,,,-1.647,,,,8800.797,8800.823,354,306.488,306.493
306.533,-0.055,-1.579,-1.548,,,,,,,,,,8800.823,8800.848,374,306.513,306.513
306.553,-0.056,-1.570,-1.540
306.573,-0.056,-1.559,-1.529,,,,,,,,,,8800.849,8800.873,384,306.538,306.553
306.593,-0.057,-1.550,-1.520,,,,,,,,,,8800.873,8800.899,412,306.565,306.573
306.613,-0.057,-1.541,-1.511,0.474,0.469,,,,,,,,8800.899,8800.924,423,306.589,306.593
306.633,-0.058,-1.530,-1.502,,,,,,,,,,8800.924,8800.950,444,306.616,306.613
306.653,-0.058,-1.521,-1.492,0.479,0.469
306.673,-0.058,-1.512,-1.483,,,,,,,,,,8800.950,8800.976,461,306.641,306.653
306.693,-0.058,-1.503,-1.474,0.474,,,,,,,,,8800.976,8801.002,484,306.667,306.673
306.713,,-1.492,-1.465,0.479,,,,,,,,,8801.002,8801.026,499,306.692,306.693
306.733,-0.058,-1.483,-1.455
306.752,-0.059,-1.474,-1.445,,0.464,,,,,,,,8801.026,8801.053,520,306.718,306.733
306.773,-0.059,-1.465,-1.436,,0.464,,,,,,,,8801.053,8801.078,539,306.743,306.753
306.793,-0.059,-1.455,-1.426,,,,,,,,,,8801.078,8801.104,554,306.769,306.773
