time,yaw,left_pos,right_pos,left_vel,right_vel,auto,enabled,bb_irq_ts,corner_pos,corner_send_ts,corner_detect_ts,corner_detect_nt_ts,tof_first_ts,tof_ts,tof_dist,tof_nt_ts,tof_fpga_ts,shoot_counter
2066.510,0.074,10.720,10.651,0.005,0.005,,,,,,,,11046.120,11046.144,971,2066.505,2066.490
2066.530,0.073,10.723,10.656
2066.550,0.073,10.729,10.662,0.032,0.037,,,,,,,,11046.144,11046.170,985,2066.531,2066.531
2066.570,0.072,10.733,10.667,0.058,0.068,,,,,,,,11046.170,11046.193,983,2066.554,2066.551
2066.590,0.072,10.738,10.672,,,,,,,,,,11046.193,11046.218,969,2066.579,2066.571
2066.610,,10.745,10.677,0.095,0.100,,,,,,,,11046.218,11046.241,955,2066.603,2066.591
2066.630,0.072,10.752,10.685,0.137,0.142,,,,,,,,11046.241,11046.266,942,2066.627,2066.611
2066.650,,10.760,10.693
2066.670,0.072,10.768,10.701,0.190,0.195,,,,,,,,11046.266,11046.291,936,2066.652,2066.650
2066.690,0.073,10.776,10.710,,,,,,,,,,11046.291,11046.315,930,2066.677,2066.670
2066.710,0.072,10.785,10.720,0.237,0.248,,,,,,,,11046.315,11046.339,899,2066.700,2066.691
2066.730,0.072,10.795,10.727,0.295,0.306,,,,,,,,11046.339,11046.363,883,2066.725,2066.710
2066.750,0.072,10.804,10.737
2066.770,0.071,10.813,10.746,0.348,0.353,,,,,,,,11046.363,11046.389,883,2066.750,2066.750
2066.790,0.071,10.822,10.754,0.379,0.374,,,,,,,,11046.389,11046.412,849,2066.773,2066.771
2066.810,0.071,10.831,10.763,,,,,,,,,,11046.412,11046.437,842,2066.798,2066.791
2066.830,0.070,10.841,10.772,0.411,0.400,,,,,,,,11046.437,11046.461,806,2066.823,2066.811
2066.850,0.069,10.850,10.781,0.432,0.427,,,,,,,,11046.461,11046.486,795,2066.847,2066.831
2066.870,0.069,10.859,10.791
2066.890,0.068,10.868,10.800,0.448,0.443,,,,,,,,11046.486,11046.510,792,2066.871,2066.871
2066.910,,10.879,10.809,0.453,0.448,,,,,,,,11046.510,11046.534,761,2066.896,2066.890
2066.930,0.068,10.888,10.818,,,,,,,,,,11046.534,11046.559,748,2066.920,2066.910
2066.950,0.068,10.897,10.828,0.469,0.453,,,,,,,,11046.559,11046.582,738,2066.943,2066.930
2066.970,0.067,10.907,10.837,,,,,,,,,,11046.582,11046.606,729,2066.968,2066.950
2066.990,0.067,10.916,10.846,0.469
2067.010,0.067,10.926,10.855,,0.458,,,,,,,,11046.607,11046.632,699,2066.993,2066.990
2067.030,0.066,10.936,10.864,,,,,,,,,,11046.632,11046.655,689,2067.016,2067.010
2067.050,0.066,10.945,10.874,,0.464,,,,,,,,11046.655,11046.680,673,2067.041,2067.031
2067.070,0.066,10.954,10.883,0.474,,,,,,,,,11046.680,11046.704,659,2067.066,2067.051
2067.090,0.066,10.964,10.892,,,,,,,,,,11046.704,11046.728,652,2067.089,2067.071
2067.110,,10.974,10.901
2067.130,0.065,10.983,10.910,,,,,,,,,,11046.728,11046.753,635,2067.114,2067.111
2067.150,0.065,10.992,10.920,,,,,,,,,,11046.753,11046.777,623,2067.139,2067.130
2067.170,,11.001,10.930,0.479
2067.190,0.065,11.012,10.939,,,,,,,,,,11046.777,11046.811,594,2067.171,2067.170
2067.210,0.065,11.021,10.949,0.474,,,,,,,,,11046.811,11046.835,583,2067.196,2067.190
2067.230,0.065,11.030,10.958,,,,,,,,,,11046.835,11046.859,561,2067.221,2067.210
2067.250,0.064,11.041,10.967,,,,,,,,,,11046.859,11046.885,531,2067.246,2067.231
2067.270,0.064,11.050,10.976,0.479,,,,,,,,,11046.885,11046.908,528,2067.269,2067.251
2067.290,0.063,11.059,10.986
2067.310,0.062,11.069,10.995,,,,,,,,,,11046.908,11046.931,512,2067.292,2067.291
2067.330,0.062,11.078,11.004,0.474,,,,,,,,,11046.931,11046.956,489,2067.317,2067.311
2067.350,0.061,11.088,11.013,,,,,,,,,,11046.956,11046.980,473,2067.342,2067.331
2067.370,0.061,11.098,11.022,,,,,,,,,,11046.980,11047.006,463,2067.367,2067.351
2067.390,0.060,11.107,11.032,0.479
2067.410,0.060,11.116,11.041,0.474,,,,,,,,,11047.006,11047.030,448,2067.392,2067.390
2067.430,0.059,11.126,11.051,,,,,,,,,,11047.030,11047.054,430,2067.415,2067.410
2067.450,0.059,11.136,11.061,0.479,,,,,,,,,11047.054,11047.078,415,2067.439,2067.430
2067.470,0.058,11.145,11.070,,,,,,,,,,11047.078,11047.102,402,2067.463,2067.451
2067.490,0.058,11.154,11.079,,,,,,,,,,11047.102,11047.128,385,2067.489,2067.471
2067.510,0.058,11.165,11.088,0.474
2067.530,,11.174,11.098,,,,,,,,,,11047.128,11047.151,367,2067.513,2067.511
2067.550,0.057,11.183,11.107,,,,,,,,,,11047.151,11047.175,345,2067.536,2067.531
2067.570,0.057,11.192,11.116,0.479,,,,,,,,,11047.175,11047.200,332,2067.562,2067.551
2067.590,0.057,11.202,11.125,,,,,,,,,,11047.200,11047.225,315,2067.586,2067.571
2067.610,0.057,11.211,11.134
2067.630,,11.220,11.144,0.474,,,,,,,,,11047.226,11047.248,303,2067.610,2067.611
2067.650,0.056,11.231,11.153,,,,,,,,,,11047.249,11047.271,293,2067.634,2067.630
2067.670,,11.240,11.162,,,,,,,,,,11047.272,11047.297,290,2067.658,2067.650
2067.690,0.056,11.249,11.171,,,,,,,,,,11047.297,11047.322,291,2067.684,2067.670
2067.710,0.056,11.258,11.180,0.469,,,,,,,,,11047.322,11047.346,293,2067.707,2067.690
2067.730,0.056,11.267,11.190,0.474,,,,,,,,,,,,,,13
2067.750,0.055,11.278,11.199,,,,,,,,,,11047.346,11047.377,0,2067.738,2067.730
