time,yaw,right,auto,enabled,bb_irq_ts,tof_dist,tof_fpga_ts,tof_ts,Filter,Timestamp,/RealOutputs/ToF/Distance/0,/RealOutputs/ToF/Distance/1
800.028,0,0,0,0,0,968,800.00805,4044.559082,TRUE,4044.559082,968,0
800.068,0,0,0,0,0,977,800.048025,4044.598145,TRUE,4044.598145,977,0
800.108,0,0,0,0,0,960,800.088,4044.637207,TRUE,4044.637207,960,0
800.148,0,0,0,0,0,965,800.128031,4044.67627,TRUE,4044.67627,965,0
800.188,0,0,0,0,0,976,800.168006,4044.716797,TRUE,4044.716797,976,0
800.228,0,0,0,0,0,967,800.208223,4044.755859,TRUE,4044.755859,967,0
800.268,800.228257,0,0,0,0,963,800.248049,4044.794922,TRUE,4044.794922,963,0
800.308,0,0,0,0,0,967,800.288006,4044.833984,TRUE,4044.833984,967,0
800.348,800.30804,0,0,0,0,971,800.328037,4044.873047,TRUE,4044.873047,971,0
800.388,800.348015,0,0,0,0,978,800.368012,4044.912109,TRUE,4044.912109,978,0
800.468,800.428022,0,0,0,0,975,800.448037,4044.991943,TRUE,4044.991943,975,0
800.508,0,0,0,0,0,971,800.488049,4045.031006,TRUE,4045.031006,971,0
800.548,800.508046,0,0,0,0,968,800.528043,4045.070068,TRUE,4045.070068,968,0
800.588,800.548022,0,0,0,0,972,800.568018,4045.109131,TRUE,4045.109131,972,0
800.628,0,0,0,0,0,960,800.608031,4045.148193,TRUE,4045.148193,960,0
800.668,0,0,0,0,0,948,800.648377,4045.187256,TRUE,4045.187256,948,0
800.708,800.668151,0,0,0,0,969,800.688185,4045.226318,TRUE,4045.226318,969,0
800.748,0,0,0,0,0,961,800.72829,4045.265625,TRUE,4045.265625,961,0
800.788,0,0,0,0,0,945,800.768099,4045.304932,TRUE,4045.304932,945,0
800.828,0,0,0,0,0,956,800.808148,4045.343994,TRUE,4045.343994,956,0
800.868,0,0,0,0,0,949,800.848012,4045.383301,TRUE,4045.383301,949,0
800.908,0,0,0,0,0,954,800.888043,4045.422363,TRUE,4045.422363,954,0
800.948,0,0,0,0,0,956,800.928055,4045.462891,TRUE,4045.462891,956,0
800.988,0,0,0,0,0,957,800.968383,4045.501953,TRUE,4045.501953,957,0
801.008,0,0,0,0,0,967,800.988065,4045.54126,TRUE,4045.54126,967,0
801.048,0,0,0,0,0,961,801.028077,4045.580322,TRUE,4045.580322,961,0
801.088,801.048055,0,0,0,0,967,801.067997,4045.619385,TRUE,4045.619385,967,0
801.128,801.088086,0,0,0,0,969,801.108027,4045.658447,TRUE,4045.658447,969,0
801.168,0,0,0,0,0,972,801.148058,4045.69751,TRUE,4045.69751,972,0
801.208,0,0,0,0,0,974,801.188034,4045.736572,TRUE,4045.736572,974,0
801.248,0,0,0,0,0,968,801.22812,4045.777344,TRUE,4045.777344,968,0
801.288,0,0,0,0,0,979,801.268021,4045.816406,TRUE,4045.816406,979,0
801.328,0,0,0,0,0,971,801.308052,4045.855469,TRUE,4045.855469,971,0
801.368,0,0,0,0,0,974,801.348009,4045.894531,TRUE,4045.894531,974,0
801.408,0,0,0,0,0,965,801.388132,4045.933594,TRUE,4045.933594,965,0
801.448,0,0,0,0,0,959,801.428034,4045.972656,TRUE,4045.972656,959,0
801.488,0,0,0,0,0,966,801.468009,4046.011719,TRUE,4046.011719,966,0
801.528,0,0,0,0,0,967,801.50804,4046.050781,TRUE,4046.050781,967,0
801.568,801.528129,0,0,0,0,973,801.548108,4046.089844,TRUE,4046.089844,973,0
801.608,801.568346,0,0,0,0,967,801.588046,4046.130615,TRUE,4046.130615,967,0
801.648,801.608061,0,0,0,0,969,801.628077,4046.169678,TRUE,4046.169678,969,0
