Timestamp,/RealOutputs/ToF/Distance,/RealOutputs/ToF/Distance2,/RealOutputs/ToF/Distance/0,/RealOutputs/ToF/Distance/1,/RealOutputs/ToF/Distance/length,/RealOutputs/ToF/FPGA,/RealOutputs/ToF/NT_Delta,/RealOutputs/ToF/NT_Time,/RealOutputs/ToF/Timestamps,/RealOutputs/ToF/Timestamps2,/RealOutputs/ToF/Timestamps3,/RealOutputs/ToF/Timestamps/0,/RealOutputs/ToF/Timestamps/1,/RealOutputs/ToF/Timestamps/2,/RealOutputs/ToF/Timestamps/length,/RealOutputs/Drive/LeftPositionMeters,/RealOutputs/Drive/LeftSetpointMetersPerSec,/RealOutputs/Drive/LeftVelocityMetersPerSec,/RealOutputs/Drive/RightPositionMeters,/RealOutputs/Drive/RightSetpointMetersPerSec,/RealOutputs/Drive/RightVelocityMetersPerSec,/RealOutputs/Odometry/Robot,/RealOutputs/Odometry/Robot/rotation/value
39.389712,795,306,795,306,2,39.390342,0.00553599999999932,39.384806,417.36181640625,417.381805419922,417.401824951172,417.36181640625,417.381805419922,417.401824951172,3,3.56947755813599,-7.29797591247916E-08,1.93878650665283,-0.0105372369289398,34-13-d4-cf-a8-93-bb-3f-2d-fa-83-1f-e7-ec-fe-bf-3f-16-ea-d3-e6-c2-08-40,3.09516683157088,0.107721853961334,-1.93283760367161
39.409727,795,306,795,306,2,39.410358,0.0255520000000047,39.384806,417.36181640625,417.381805419922,417.401824951172,417.36181640625,417.381805419922,417.401824951172,3,3.56947755813599,-7.29797591247916E-08,1.93878650665283,-0.00526874652132392,34-13-d4-cf-a8-93-bb-3f-2d-fa-83-1f-e7-ec-fe-bf-9c-a3-5e-5f-8b-c2-08-40,3.09499239451948,0.107721853961334,-1.93283760367161
39.429706,1213,852,1213,852,2,39.43041,0.00559700000000163,39.424813,417.401824951172,417.421844482422,417.441833496094,417.401824951172,417.421844482422,417.441833496094,3,3.56947755813599,-7.29797591247916E-08,1.93878650665283,-0.00526874652132392,34-13-d4-cf-a8-93-bb-3f-2d-fa-83-1f-e7-ec-fe-bf-f9-30-d3-ea-2f-c2-08-40,3.09481795746808,0.107721853961334,-1.93283760367161
39.449684,1213,852,1213,852,2,39.450315,0.025502000000003,39.424813,417.401824951172,417.421844482422,417.441833496094,417.401824951172,417.421844482422,417.441833496094,3,3.56947755813599,-7.29797591247916E-08,1.93878650665283,-0.00526874652132392,34-13-d4-cf-a8-93-bb-3f-2d-fa-83-1f-e7-ec-fe-bf-f9-30-d3-ea-2f-c2-08-40,3.09481795746808,0.107721853961334,-1.93283760367161
39.469681,799,420,799,420,2,39.470312,0.00549999999999784,39.464812,417.441833496094,417.461853027344,417.481811523438,417.441833496094,417.461853027344,417.481811523438,3,3.56947755813599,-7.29797591247916E-08,1.93878650665283,-0.00526874652132392,34-13-d4-cf-a8-93-bb-3f-2d-fa-83-1f-e7-ec-fe-bf-12-31-89-52-d4-c1-08-40,3.09464325410057,0.107721853961334,-1.93283760367161
39.489808,799,420,799,420,2,39.490438,0.0256259999999955,39.464812,417.441833496094,417.461853027344,417.481811523438,417.441833496094,417.461853027344,417.481811523438,3,3.56947755813599,-7.29797591247916E-08,1.93878650665283,-0.00526874652132392,34-13-d4-cf-a8-93-bb-3f-2d-fa-83-1f-e7-ec-fe-bf-12-31-89-52-d4-c1-08-40,3.09464325410057,0.107721853961334,-1.93283760367161
39.509712,793,951,793,951,2,39.510342,0.0055240000000012,39.504818,417.481842041016,417.501831054688,417.521820068359,417.481842041016,417.501831054688,417.521820068359,3,3.56947755813599,-7.29797591247916E-08,1.93878650665283,-2.55868798149095E-07,34-13-d4-cf-a8-93-bb-3f-2d-fa-83-1f-e7-ec-fe-bf-12-31-89-52-d4-c1-08-40,3.09464325410057,0.107721853961334,-1.93283760367161
39.529746,793,951,793,951,2,39.530358,0.0255399999999995,39.504818,417.481842041016,417.501831054688,417.521820068359,417.481842041016,417.501831054688,417.521820068359,3,3.56947755813599,-7.29797591247916E-08,1.93878650665283,-2.55868798149095E-07,34-13-d4-cf-a8-93-bb-3f-2d-fa-83-1f-e7-ec-fe-bf-9c-a3-5e-5f-8b-c2-08-40,3.09499239451948,0.107721853961334,-1.93283760367161
39.549687,1214,384,1214,384,2,39.550318,0.00550499999999943,39.544813,417.521850585938,417.541839599609,417.561828613281,417.521850585938,417.541839599609,417.561828613281,3,3.56947755813599,-7.29797591247916E-08,1.93878650665283,-2.55868798149095E-07,34-13-d4-cf-a8-93-bb-3f-2d-fa-83-1f-e7-ec-fe-bf-3f-16-ea-d3-e6-c2-08-40,3.09516683157088,0.107721853961334,-1.93283760367161
39.569684,1214,384,1214,384,2,39.570315,0.025502000000003,39.544813,417.521850585938,417.541839599609,417.561828613281,417.521850585938,417.541839599609,417.561828613281,3,3.56947755813599,-7.29797591247916E-08,1.93878650665283,-2.55868798149095E-07,34-13-d4-cf-a8-93-bb-3f-2d-fa-83-1f-e7-ec-fe-bf-26-16-34-6c-42-c3-08-40,3.09534153493839,0.107721853961334,-1.93283760367161
39.589699,819,359,819,359,2,39.59033,0.00551899999999961,39.584811,417.561828613281,417.581848144531,417.601837158203,417.561828613281,417.581848144531,417.601837158203,3,3.56947755813599,-7.29797591247916E-08,1.93878650665283,-2.55868798149095E-07,34-13-d4-cf-a8-93-bb-3f-2d-fa-83-1f-e7-ec-fe-bf-3f-16-ea-d3-e6-c2-08-40,3.09516683157088,0.107721853961334,-1.93283760367161
