time,yaw,right,auto,enabled,bb_irq_ts,tof_dist,tof_fpga_ts,tof_ts,Filter,Timestamp,/RealOutputs/ToF/Distance/0,/RealOutputs/ToF/Distance/1
386.785,0,0,0,0,0,658,386.764821,3631.313965,TRUE,3631.313965,658,0
386.805,0,0,0,0,0,662,386.784762,3631.338867,TRUE,3631.338867,662,0
386.825,0,0,0,0,0,663,386.804778,3631.362061,TRUE,3631.362061,663,0
386.884,0,0,0,0,0,660,386.864768,3631.411621,TRUE,3631.411621,660,0
386.905,3631.411621,0,0,0,0,661,386.884747,3631.434814,TRUE,3631.434814,661,0
386.925,3631.434814,0,0,0,0,663,386.904781,3631.459717,TRUE,3631.459717,663,0
386.985,0,0,0,0,0,658,386.964827,3631.509277,TRUE,3631.509277,658,0
387.005,0,0,0,0,0,660,386.984954,3631.532471,TRUE,3631.532471,660,0
387.025,3631.532471,0,0,0,0,659,387.005025,3631.557373,TRUE,3631.557373,659,0
387.045,0,0,0,0,0,661,387.024873,3631.582031,TRUE,3631.582031,661,0
387.065,3631.582031,0,0,0,0,658,387.044778,3631.605225,TRUE,3631.605225,658,0
387.105,0,0,0,0,0,664,387.08479,3631.630127,TRUE,3631.630127,664,0
387.125,3631.630127,0,0,0,0,658,387.104805,3631.654785,TRUE,3631.654785,658,0
387.145,3631.654785,0,0,0,0,667,387.124932,3631.677979,TRUE,3631.677979,667,0
387.165,3631.677979,0,0,0,0,658,387.144929,3631.702881,TRUE,3631.702881,658,0
387.205,387.164815,0,0,0,0,662,387.184886,3631.727783,TRUE,3631.727783,662,0
387.225,0,0,0,0,0,661,387.205272,3631.752441,TRUE,3631.752441,661,0
387.245,3631.752441,0,0,0,0,658,387.225084,3631.775635,TRUE,3631.775635,658,0
387.265,0,0,0,0,0,663,387.244858,3631.800537,TRUE,3631.800537,663,0
387.285,3631.800537,0,0,0,0,658,387.264836,3631.825195,TRUE,3631.825195,658,0
387.325,0,0,0,0,0,661,387.305461,3631.848389,TRUE,3631.848389,661,0
387.345,0,0,0,0,0,657,387.325124,3631.873291,TRUE,3631.873291,657,0
387.365,0,0,0,0,0,659,387.344954,3631.898193,TRUE,3631.898193,659,0
387.385,3631.898193,0,0,0,0,663,387.364913,3631.921387,TRUE,3631.921387,663,0
387.405,3631.921387,0,0,0,0,664,387.384855,3631.946045,TRUE,3631.946045,664,0
387.445,387.404833,0,0,0,0,659,387.424867,3631.970947,TRUE,3631.970947,659,0
387.465,0,0,0,0,0,662,387.444864,3631.994141,TRUE,3631.994141,662,0
387.505,0,0,0,0,0,663,387.484821,3632.043701,TRUE,3632.043701,663,0
387.525,0,0,0,0,0,659,387.504892,3632.068604,TRUE,3632.068604,659,0
387.565,387.52487,0,0,0,0,662,387.544867,3632.091797,TRUE,3632.091797,662,0
387.585,3632.091797,0,0,0,0,660,387.564901,3632.116455,TRUE,3632.116455,660,0
387.605,0,0,0,0,0,661,387.584861,3632.141357,TRUE,3632.141357,661,0
387.665,387.624836,0,0,0,0,666,387.644796,3632.189453,TRUE,3632.189453,666,0
387.685,3632.189453,0,0,0,0,658,387.664867,3632.214111,TRUE,3632.214111,658,0
387.705,3632.214111,0,0,0,0,662,387.684771,3632.237305,TRUE,3632.237305,662,0
387.725,0,0,0,0,0,655,387.704787,3632.262207,TRUE,3632.262207,655,0
387.745,0,0,0,0,0,662,387.725043,3632.286865,TRUE,3632.286865,662,0
387.785,0,0,0,0,0,661,387.764759,3632.311768,TRUE,3632.311768,661,0
387.825,0,0,0,0,0,660,387.804771,3632.359863,TRUE,3632.359863,660,0
387.845,0,0,0,0,0,661,387.824991,3632.384521,TRUE,3632.384521,661,0
387.885,0,0,0,0,0,662,387.86478,3632.407715,TRUE,3632.407715,662,0
387.905,0,0,0,0,0,660,387.884759,3632.432617,TRUE,3632.432617,660,0
387.925,3632.432617,0,0,0,0,662,387.90483,3632.45752,TRUE,3632.45752,662,0
387.945,3632.45752,0,0,0,0,659,387.924771,3632.480713,TRUE,3632.480713,659,0
387.965,0,0,0,0,0,658,387.944786,3632.505371,TRUE,3632.505371,658,0
388.005,0,0,0,0,0,656,387.984836,3632.530273,TRUE,3632.530273,656,0
388.045,0,0,0,0,0,661,388.024774,3632.578369,TRUE,3632.578369,661,0
388.065,0,0,0,0,0,659,388.044771,3632.603027,TRUE,3632.603027,659,0
388.085,0,0,0,0,0,667,388.064842,3632.62793,TRUE,3632.62793,667,0
388.125,388.084783,0,0,0,0,656,388.10478,3632.651123,TRUE,3632.651123,656,0
388.145,3632.651123,0,0,0,0,659,388.124814,3632.675781,TRUE,3632.675781,659,0
388.165,0,0,0,0,0,662,388.144793,3632.700684,TRUE,3632.700684,662,0
388.185,0,0,0,0,0,665,388.16542,3632.723877,TRUE,3632.723877,665,0
388.225,388.184786,0,0,0,0,663,388.204969,3632.748779,TRUE,3632.748779,663,0
388.245,0,0,0,0,0,661,388.224762,3632.773438,TRUE,3632.773438,661,0
388.265,0,0,0,0,0,662,388.245222,3632.796631,TRUE,3632.796631,662,0
388.285,0,0,0,0,0,660,388.26483,3632.821533,TRUE,3632.821533,660,0
388.305,3632.821533,0,0,0,0,662,388.284919,3632.846436,TRUE,3632.846436,662,0
388.345,0,0,0,0,0,657,388.324765,3632.871094,TRUE,3632.871094,657,0
388.385,3632.894287,0,0,0,0,662,388.36487,3632.919189,TRUE,3632.919189,662,0
