Timestamp,/RealOutputs/ToF/Distance,/RealOutputs/ToF/Distance/0,/RealOutputs/ToF/Distance/1,/RealOutputs/ToF/Distance/length,/RealOutputs/ToF/FPGA,/RealOutputs/ToF/NT_Delta,/RealOutputs/ToF/NT_Time,/RealOutputs/ToF/Timestamps,/RealOutputs/ToF/Timestamps/0,/RealOutputs/ToF/Timestamps/1,/RealOutputs/ToF/Timestamps/2,/RealOutputs/ToF/Timestamps/length,/RealOutputs/Drive/LeftPositionMeters,/RealOutputs/Drive/LeftVelocityMetersPerSec,/RealOutputs/Drive/RightPositionMeters,/RealOutputs/Drive/RightVelocityMetersPerSec,/RealOutputs/Odometry/Robot,/RealOutputs/Odometry/Robot/rotation/value,/RealOutputs/Odometry/Robot/translation/x,/RealOutputs/Odometry/Robot/translation/y,,,
63.009686,540,557,540,557,2,63.010224,0.021995000000004,62.988229,440.965270996094,440.985260009766,441.005249023438,440.965270996094,440.985260009766,441.005249023438,3,6.75683307647705,-0.0368797369301319,5.07245254516602,-0.0842963978648186,b7-99-eb-9c-15-3e-fe-3f-42-b4-90-b7-25-ca-fd-bf-70-62-3d-ba-81-95-08-40,3.07300134181815,1.89015733048437,-1.86185237603355
63.02972,537,555,537,555,2,63.030314,0.00208899999999801,63.028225,441.005249023438,441.025268554688,441.045227050781,441.005249023438,441.025268554688,441.045227050781,3,6.74761486053467,-0.0948331281542778,5.06323432922363,-0.0842963978648186,e9-4b-38-05-c2-63-fe-3f-26-44-81-5e-ab-cc-fd-bf-07-34-58-cf-a7-9c-08-40,3.07649194705892,1.89935495413806,-1.86246811786646
63.049736,537,555,537,555,2,63.050274,0.0220490000000027,63.028225,441.005249023438,441.025268554688,441.045227050781,441.005249023438,441.025268554688,441.045227050781,3,6.73444509506226,-0.0948331281542778,5.05006456375122,-0.147518277168274,af-76-14-e2-97-99-fe-3f-6f-9b-e7-7c-14-d0-fd-bf-41-78-fe-58-29-a4-08-40,3.08015698935108,1.91249836266017,-1.86330078879265
63.069696,543,556,543,556,2,63.070252,-0.00116799999999984,63.07142,441.045257568359,441.065277099609,441.088439941406,441.045257568359,441.065277099609,441.088439941406,3,6.71600770950317,-0.184397473931313,5.03294372558594,-0.237082600593567,1a-ee-15-1f-4b-e2-fe-3f-9f-fd-1d-62-4f-d4-fd-bf-2b-36-1d-9a-be-b1-08-40,3.08678932572982,1.93024742262685,-1.86433351828587
63.089748,543,556,543,556,2,63.09049,0.0190699999999993,63.07142,441.045257568359,441.065277099609,441.088439941406,441.045257568359,441.065277099609,441.088439941406,3,6.69361972808838,-0.184397473931313,5.01186752319336,-0.237082600593567,85-30-75-5f-2e-3b-ff-3f-24-0b-9c-d4-0f-d9-fd-bf-f3-af-4b-b9-76-b7-08-40,3.08958191644887,1.95194852150147,-1.86549361277202
63.109671,537,550,537,550,2,63.110227,-0.00118899999999655,63.111416,441.088439941406,441.108459472656,441.12841796875,441.088439941406,441.108459472656,441.12841796875,3,6.66859722137451,-0.316109746694565,4.98683977127075,-0.368794858455658,80-66-81-47-8d-a1-ff-3f-57-33-c1-ff-43-de-fd-bf-31-b7-a4-cb-77-bc-08-40,3.09202536674902,1.97694137508225,-1.86676406768966
63.129705,537,550,537,550,2,63.130336,0.0189200000000014,63.111416,441.088439941406,441.108459472656,441.12841796875,441.088439941406,441.108459472656,441.12841796875,3,6.63962459564209,-0.484701424837112,4.95917749404907,-0.532118082046509,65-4b-fe-c9-b3-0a-00-40-a9-c7-dc-f6-de-e3-fd-bf-6e-be-fd-dd-78-c1-08-40,3.09446881704917,2.00522573287292,-1.86813255720743
63.149702,537,550,537,550,2,63.15024,0.0388239999999982,63.111416,441.088439941406,441.108459472656,441.12841796875,441.088439941406,441.108459472656,441.12841796875,3,6.61065196990967,-0.484701424837112,4.93019819259644,-0.532118082046509,83-cd-fd-97-fb-45-00-40-5b-88-68-7e-4e-e9-fd-bf-4f-38-e2-64-d5-c6-08-40,3.09708670440072,2.03417128318114,-1.86945962312941
63.169717,542,550,542,550,2,63.170255,0.015671999999995,63.154583,441.128448486328,441.151611328125,441.171600341797,441.128448486328,441.151611328125,441.171600341797,3,6.58036136627197,-0.669098556041718,4.89990091323853,-0.716515243053436,9a-a6-7e-67-f7-83-00-40-d4-8d-f3-c6-af-ee-fd-bf-ea-cc-af-02-7b-cb-08-40,3.09935571764946,2.06443672995813,-1.87077310290703
63.189696,542,550,542,550,2,63.190271,0.0356880000000004,63.154583,441.128448486328,441.151611328125,441.171600341797,441.128448486328,441.151611328125,441.171600341797,3,6.55007171630859,-0.848227262496948,4.87092161178589,-0.900912404060364,b2-e9-28-39-9b-c0-00-40-69-11-a6-58-af-f3-fd-bf-9e-61-33-08-c5-cf-08-40,3.1014500275307,2.0940460649119,-1.87199339512253
